"업체명",사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자
"제주아이엔지㈜",주사업장,제주특별자치도 제주시 어영길10,제주특별자치도 제주시 용담삼동 2297-1,33.51906348,126.4941991,,제주특별자치도 제주시 내도동 181,,300,293,7,0,0,,,,,,,,07:45,20:00,,,,,,,,064-723-3348,2023-06-19
"㈜일출렌터카",주사업장,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 용담이동 1588-2,33.50482039,126.4967932,,제주특별자치도 제주시 용담삼동 965,,100,100,0,5,0,,,,,,,,07:45,20:00,,,,,,,,064-805-8780,2023-06-19
"㈜소풍렌트카",주사업장,제주특별자치도 제주시 제성1길 28-1,제주특별자치도 제주시 도두이동 1157-5,33.49610385,126.4830713,,제주특별자치도 제주시 도두일동 1173-1,,202,199,3,0,0,,,,,,,,07:45,20:00,,,,,,,,064-746-3500,2023-06-19
"㈜제주동백렌트카",주사업장,제주특별자치도 제주시 다호5길 17,제주특별자치도 제주시 도두이동 390-6,33.50174262,126.4892862,,제주특별자치도 제주시 도두이동 390-6,,161,161,0,20,0,,,,,,,,07:45,20:00,,,,,,,,064-744-4800,2023-06-19
"㈜제주마음렌트카",주사업장,제주특별자치도 제주시 용해로 80-7,제주특별자치도 제주시 용담이동 859,33.50992278,126.5025672,,제주특별자치도 제주시 용담이동 859,,176,175,1,0,0,,,,,,,,07:45,20:00,,,,,,,,064-747-6869,2023-06-19
"제주야렌트카㈜",주사업장,제주특별자치도 제주시 제성1길 75,제주특별자치도 제주시 도두일동 1175-1,33.49845237,126.4788297,,제주특별자치도 제주시 도두일동 1177-4,,120,120,0,12,0,,,,,,,,07:45,20:00,,,,,,,,064-713-1557,2023-06-19
"㈜바로렌트카",주사업장,제주특별자치도 제주시 용문로 26-7,제주특별자치도 제주시 용담이동 1527-2,33.504477,126.4978902,,제주특별자치도 제주시 용담이동 1524-1,,170,170,0,0,0,,,,,,,,07:45,20:00,,,,,,,,0507-1406-8287,2023-06-19
"㈜그린렌트카",주사업장,제주특별자치도 제주시 오일장중길 128,제주특별자치도 제주시 도두이동 1106-1,33.49970223,126.4800178,,제주특별자치도 제주시 도두이동 1103-1,,100,95,5,13,0,,,,,,,,07:45,20:00,,,,,,,,064-744-1116,2023-06-19
"롯데렌탈㈜",영업소,제주특별자치도 제주시 용해로 92,제주특별자치도 제주시 용담이동 855,33.50895004,126.5014788,,제주특별자치도 제주시 용담이동 851,,2395,2223,172,180,0,,,,,,,,07:45,20:00,,,,,,,,064-751-8000,2023-06-19
"㈜차세대",영업소,제주특별자치도 제주시 명신1길 19,제주특별자치도 제주시 용담이동 707-6,33.50003101,126.5009065,,제주특별자치도 서귀포시 대정읍 상모리 419,,110,102,8,24,0,,,,,,,,07:45,20:00,,,,,,,,064-711-9030,2023-06-19
"에스케이렌터카㈜(SK)",영업소,제주특별자치도 제주시 용문로 62,제주특별자치도 제주시 용담이동 737-6,33.50343756,126.5019336,,제주특별자치도 제주시 용담삼동 2240,,2947,2815,132,1188,0,,,,,,,,07:45,20:00,,,,,,,,064-726-6461,2023-06-19
"㈜경동",영업소,제주특별자치도 제주시 신대로 45,제주특별자치도 제주시 연동 300-8,33.4932207,126.4972165,,제주특별자치도 서귀포시 표선면 하천리 1174,,100,96,4,1,0,,,,,,,,07:45,20:00,,,,,,,,064-744-7475,2023-06-19
"㈜레드캡",영업소,제주특별자치도 제주시 다호길 130,제주특별자치도 제주시 용담이동 1963-4,33.50320226,126.4939939,,제주특별자치도 제주시 연동 2456,,620,597,23,120,0,,,,,,,,07:45,20:00,,,,,,,,064-803-0391,2023-06-19
"㈜제주스타렌탈",영업소,제주특별자치도 제주시 용문로 20,제주특별자치도 제주시 용담이동 1524-12,33.50489244,126.4983969,,제주특별자치도 제주시 용담이동 1524-12,,100,100,0,0,0,,,,,,,,07:45,20:00,,,,,,,,064-759-3372,2023-06-19
"㈜제주제일렌터카",영업소,제주특별자치도 제주시 월성로4길 78,제주특별자치도 제주시 용담이동 1730-4,33.49842798,126.4982067,,제주특별자치도 제주시 애월읍 상귀리 679-1,,170,156,14,6,0,,,,,,,,07:45,20:00,,,,,,,,064-747-5670,2023-06-19
"㈜해피네트웍스",영업소,제주특별자치도 제주시 일주서로 7581,제주특별자치도 제주시 이호이동 1606,33.4957600045,126.456506,,제주특별자치도 제주시 노형동 3744-4,,414,398,16,0,0,,,,,,,,07:45,20:00,,,,,,,,064-711-7935,2023-06-19
"퍼시픽렌트카㈜",영업소,제주특별자치도 제주시 월성로4길 74-12,제주특별자치도 제주시 용담이동 1673-1,33.49935489,126.4984473,제주특별자치도 제주시 일주서로 7822,제주특별자치도 제주시 연동 2420,,393,341,52,10,0,,,,,,,,07:45,20:00,,,,,,,,064-747-1541,2023-06-19
